,s_feature,weight,p 
7,# AUX (participant),1.091598727,
86,UP,1.019628704,
13,# PART (participant),0.895599513,
38,BrunetIndex,0.848787034,1
83,UVU,0.766627072,
45,RatioCoordinate,0.745829745,
76,stddurpause,0.706172894,
26,MTLD (participant),0.623449121,
47,VPTypeRate,0.614348077,
52,AvgNPTypeLengthEmbedded,0.591100537,
40,MeanWordLength,0.434059961,
41,DisfluencyFrequency,0.38549011,
55,AvgPPTypeLengthNonEmbedded,0.372313752,
5,# ADP (participant),0.350686966,
1,# tokens (participant),0.312632323,
65,skwdurvoiced,0.282011953,
4,# ADJ (participant),0.270560844,
42,RatioNoun,0.263556993,
80,mindurpause,0.249146819,
23,MSTTR (participant),0.2310344,
30,NP_to_PRP (participant),0.216208201,
77,skwdurpause,0.209280403,
24,MATTR (participant),0.191471249,
61,proportion_below_threshold_0.5,0.174409645,
10,# INTJ (participant),0.171936844,
60,proportion_below_threshold_0.3,0.158321568,
50,NPProportion,0.157557226,
27,HD-D (participant),0.140452748,
68,mindurvoiced,0.127009114,
19,# named entities (participant),0.120166931,
48,PPTypeRate,0.105780924,
12,# NUM (participant),0.093506879,
66,kurtosisdurvoiced,0.088802179,
29,tree_height (participant),0.083404214,
74,mindurunvoiced,0.071611459,
46,NPTypeRate,0.045315843,
69,avgdurunvoiced,0.043088965,
78,kurtosisdurpause,0.025029628,
0,# utterances (participant),0.006485583,
15,# PROPN (participant),-0.000390931,
32,VP_to_VBG (participant),-0.008930053,
6,# ADV (participant),-0.021950418,
70,stddurunvoiced,-0.029960598,
11,# NOUN (participant),-0.06341036,
21,# CARDINAL (participant),-0.073461153,
72,kurtosisdurunvoiced,-0.087931917,
67,maxdurvoiced,-0.088537264,
85,VP,-0.095462894,
34,ROOT_to_FRAG (participant),-0.112594503,
36,VP_to_AUX_ADJP (participant),-0.115393816,
75,avgdurpause,-0.138368962,
71,skwdurunvoiced,-0.140301704,
49,PProportion,-0.144992297,
18,# VERB (participant),-0.160906606,
2,# unique tokens (participant),-0.161551983,
44,RatioPronoun,-0.172835474,
73,maxdurunvoiced,-0.184134083,
25,Maas (participant),-0.192410577,
28,SUBTLscore (participant),-0.194350857,
39,HonoreStatistic,-0.198412138,
56,AvgNPTypeLengthNonEmbedded,-0.199706739,
79,maxdurpause,-0.202621492,
58,avg_cos_dist,-0.224701425,
51,VPProportion,-0.251937838,
81,PVU,-0.260696812,
33,INTJ_to_UH (participant),-0.262646351,
9,# DET (participant),-0.266458275,
35,VP_to_AUX_VP (participant),-0.329322918,
20,# unique named entities (participant),-0.345049255,
64,stddurvoiced,-0.362324796,
53,AvgVPTypeLengthEmbedded,-0.375285608,
17,# SCONJ (participant),-0.385852243,
62,Vrate,-0.427470119,
8,# CCONJ (participant),-0.444363968,
59,proportion_below_threshold_0,-0.445624411,
63,avgdurvoiced,-0.507139997,
57,AvgVPTypeLengthNonEmbedded,-0.528798522,
16,# PUNCT (participant),-0.61320568,
54,AvgPPTypeLengthEmbedded,-0.613228077,
14,# PRON (participant),-0.636173494,
82,PU,-0.647797331,
84,VVU,-0.706040693,
37,VP_to_AUX (participant),-0.712428166,
31,NP_to_DT_NN (participant),-0.717114179,
22,TTR (participant),-0.745332824,
3,# unique lemmas (participant),-0.861197518,
43,RatioVerb,-0.883215385,
